product,service,dimension,name,spec,unit,price,note
ماشین‌های مجازی,EC2,زمان مصرف,t4g.nano,2 vCPU / 0.5 GiB,USD/hr,0.0042,General purpose | AWS Graviton2 Processor | Up to 5 Gigabit
ماشین‌های مجازی,EC2,زمان مصرف,t3a.nano,2 vCPU / 0.5 GiB,USD/hr,0.0047,General purpose | AMD EPYC 7571 | Up to 5 Gigabit
ماشین‌های مجازی,EC2,زمان مصرف,t3.nano,2 vCPU / 0.5 GiB,USD/hr,0.0052,General purpose | Intel Skylake E5 2686 v5 | Up to 5 Gigabit
ماشین‌های مجازی,EC2,زمان مصرف,t2.nano,1 vCPU / 0.5 GiB,USD/hr,0.0058,General purpose | Intel Xeon Family | Low
ماشین‌های مجازی,EC2,زمان مصرف,t4g.micro,2 vCPU / 1 GiB,USD/hr,0.0084,General purpose | AWS Graviton2 Processor | Up to 5 Gigabit
ماشین‌های مجازی,EC2,زمان مصرف,t3a.micro,2 vCPU / 1 GiB,USD/hr,0.0094,General purpose | AMD EPYC 7571 | Up to 5 Gigabit
ماشین‌های مجازی,EC2,زمان مصرف,t3.micro,2 vCPU / 1 GiB,USD/hr,0.0104,General purpose | Intel Skylake E5 2686 v5 | Up to 5 Gigabit
ماشین‌های مجازی,EC2,زمان مصرف,t2.micro,1 vCPU / 1 GiB,USD/hr,0.0116,General purpose | Intel Xeon Family | Low to Moderate
ماشین‌های مجازی,EC2,زمان مصرف,t4g.small,2 vCPU / 2 GiB,USD/hr,0.0168,General purpose | AWS Graviton2 Processor | Up to 5 Gigabit
ماشین‌های مجازی,EC2,زمان مصرف,t3a.small,2 vCPU / 2 GiB,USD/hr,0.0188,General purpose | AMD EPYC 7571 | Up to 5 Gigabit
ماشین‌های مجازی,EC2,زمان مصرف,t1.micro,1 vCPU / 0.613 GiB,USD/hr,0.02,Micro instances | Variable | Very Low
ماشین‌های مجازی,EC2,زمان مصرف,t3.small,2 vCPU / 2 GiB,USD/hr,0.0208,General purpose | Intel Skylake E5 2686 v5 | Up to 5 Gigabit
ماشین‌های مجازی,EC2,زمان مصرف,t2.small,1 vCPU / 2 GiB,USD/hr,0.023,General purpose | Intel Xeon Family | Low to Moderate
ماشین‌های مجازی,EC2,زمان مصرف,a1.medium,1 vCPU / 2 GiB,USD/hr,0.0255,General purpose | AWS Graviton Processor | Up to 10 Gigabit
ماشین‌های مجازی,EC2,زمان مصرف,t4g.medium,2 vCPU / 4 GiB,USD/hr,0.0336,General purpose | AWS Graviton2 Processor | Up to 5 Gigabit
ماشین‌های مجازی,EC2,زمان مصرف,c6g.medium,1 vCPU / 2 GiB,USD/hr,0.034,Compute optimized | AWS Graviton2 Processor | Up to 10 Gigabit
