instance,family,vcpu,memory,cpu,arch,gpu,gpu_mem,net,storage,gen,usd_hr
t4g.nano,General purpose,2,0.5 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 5 Gigabit,EBS only,Yes,0.0042
t3a.nano,General purpose,2,0.5 GiB,AMD EPYC 7571,64-bit,,NA,Up to 5 Gigabit,EBS only,Yes,0.0047
t3.nano,General purpose,2,0.5 GiB,Intel Skylake E5 2686 v5,64-bit,,NA,Up to 5 Gigabit,EBS only,Yes,0.0052
t2.nano,General purpose,1,0.5 GiB,Intel Xeon Family,32-bit or 64-bit,,NA,Low,EBS only,Yes,0.0058
t4g.micro,General purpose,2,1 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 5 Gigabit,EBS only,Yes,0.0084
t3a.micro,General purpose,2,1 GiB,AMD EPYC 7571,64-bit,,NA,Up to 5 Gigabit,EBS only,Yes,0.0094
t3.micro,General purpose,2,1 GiB,Intel Skylake E5 2686 v5,64-bit,,NA,Up to 5 Gigabit,EBS only,Yes,0.0104
t2.micro,General purpose,1,1 GiB,Intel Xeon Family,32-bit or 64-bit,,NA,Low to Moderate,EBS only,Yes,0.0116
t4g.small,General purpose,2,2 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 5 Gigabit,EBS only,Yes,0.0168
t3a.small,General purpose,2,2 GiB,AMD EPYC 7571,64-bit,,NA,Up to 5 Gigabit,EBS only,Yes,0.0188
t1.micro,Micro instances,1,0.613 GiB,Variable,32-bit or 64-bit,,NA,Very Low,EBS only,No,0.02
t3.small,General purpose,2,2 GiB,Intel Skylake E5 2686 v5,64-bit,,NA,Up to 5 Gigabit,EBS only,Yes,0.0208
t2.small,General purpose,1,2 GiB,Intel Xeon Family,32-bit or 64-bit,,NA,Low to Moderate,EBS only,Yes,0.023
a1.medium,General purpose,1,2 GiB,AWS Graviton Processor,64-bit,,NA,Up to 10 Gigabit,EBS only,No,0.0255
t4g.medium,General purpose,2,4 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 5 Gigabit,EBS only,Yes,0.0336
c6g.medium,Compute optimized,1,2 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 10 Gigabit,EBS only,Yes,0.034
c7g.medium,Compute optimized,1,2 GiB,AWS Graviton3 Processor,64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.0363
t3a.medium,General purpose,2,4 GiB,AMD EPYC 7571,64-bit,,NA,Up to 5 Gigabit,EBS only,Yes,0.0376
c6gd.medium,Compute optimized,1,2 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 10 Gigabit,1 x 59 NVMe SSD,Yes,0.0384
m6g.medium,General purpose,1,4 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 10 Gigabit,EBS only,Yes,0.0385
c8g.medium,Compute optimized,1,2 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 12.5 Gigabit,EBS only,Yes,0.03988
m7g.medium,General purpose,1,4 GiB,AWS Graviton3 Processor,64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.0408
t3.medium,General purpose,2,4 GiB,Intel Skylake E5 2686 v5,64-bit,,NA,Up to 5 Gigabit,EBS only,Yes,0.0416
c6gn.medium,Compute optimized,1,2 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 25 Gigabit,EBS only,Yes,0.0432
c9g.medium,Compute optimized,1,2.0 GiB,AWS Graviton5 Processor,64-bit,,NA,Up to 15 Gigabit,EBS only,Yes,0.04347
m1.small,General purpose,1,1.7 GiB,Intel Xeon Family,32-bit or 64-bit,,NA,Low,1 x 160 SSD,No,0.044
m8g.medium,General purpose,1,4 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 12.5 Gigabit,EBS only,Yes,0.04488
m6gd.medium,General purpose,1,4 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 10 Gigabit,1 x 59 NVMe SSD,Yes,0.0452
c7gd.medium,Compute optimized,1,2 GiB,AWS Graviton3 Processor,64-bit,,NA,Up to 12500 Megabit,1 x 59 NVMe SSD,Yes,0.0454
t2.medium,General purpose,2,4 GiB,Intel Xeon Family,32-bit or 64-bit,,NA,Low to Moderate,EBS only,Yes,0.0464
m9g.medium,General purpose,1,4 GiB,AWS Graviton5 Processor,64-bit,,NA,Up to 15000 Megabit,EBS only,Yes,0.04892
c8gd.medium,Compute optimized,1,2 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 12500 Megabit,1 x 59 NVMe SSD,Yes,0.04899
r6g.medium,Memory optimized,1,8 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 10 Gigabit,EBS only,Yes,0.0504
a1.large,General purpose,2,4 GiB,AWS Graviton Processor,64-bit,,NA,Up to 10 Gigabit,EBS only,No,0.051
c7a.medium,Compute optimized,1,2 GiB,AMD EPYC 9R14 Processor,64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.05132
c9gd.medium,Compute optimized,1,2.0 GiB,AWS Graviton5 Processor,64-bit,,NA,Up to 15 Gigabit,1 x 59 NVMe SSD,Yes,0.0534
m7gd.medium,General purpose,1,4 GiB,AWS Graviton3 Processor,64-bit,,NA,Up to 12500 Megabit,1 x 59 NVMe SSD,Yes,0.0534
r7g.medium,Memory optimized,1,8 GiB,AWS Graviton3 Processor,64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.0536
c8a.medium,Compute optimized,1,2 GiB,AMD EPYC 9R45 Processor,64-bit,,NA,Up to 15000 Megabit,EBS only,Yes,0.05389
r6gd.medium,Memory optimized,1,8 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 10 Gigabit,1 x 59 NVMe SSD,Yes,0.0576
m8gd.medium,General purpose,1,4 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 12500 Megabit,1 x 59 NVMe SSD,Yes,0.05766
m7a.medium,General purpose,1,4 GiB,AMD EPYC 9R14 Processor,64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.05796
r8g.medium,Memory optimized,1,8 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 12.5 Gigabit,EBS only,Yes,0.05891
c8gb.medium,Compute optimized,1,2 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 16.667 Gigabit,EBS only,Yes,0.05925
c8gn.medium,Compute optimized,1,2 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 25 Gigabit,EBS only,Yes,0.0593
m8a.medium,General purpose,1,4 GiB,AMD EPYC 9R45 Processor,64-bit,,NA,Up to 15000 Megabit,EBS only,Yes,0.06086
c7gn.medium,Compute optimized,1,2 GiB,AWS Graviton3 Processor,64-bit,,NA,Up to 25 Gigabit,EBS only,Yes,0.0624
m9gd.medium,General purpose,1,4.0 GiB,AWS Graviton5 Processor,64-bit,,NA,Up to 15 Gigabit,1 x 59 NVMe SSD,Yes,0.06285
m3.medium,General purpose,1,3.75 GiB,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),64-bit,,NA,Moderate,1 x 4 SSD,No,0.067
t4g.large,General purpose,2,8 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 5 Gigabit,EBS only,Yes,0.0672
r7gd.medium,Memory optimized,1,8 GiB,AWS Graviton3 Processor,64-bit,,NA,Up to 12500 Megabit,1 x 59 NVMe SSD,Yes,0.068
c6g.large,Compute optimized,2,4 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 10 Gigabit,EBS only,Yes,0.068
c7g.large,Compute optimized,2,4 GiB,AWS Graviton3 Processor,64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.0725
m8gb.medium,General purpose,1,4 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 16.667 Gigabit,EBS only,Yes,0.07275
m8gn.medium,General purpose,1,4 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 25 Gigabit,EBS only,Yes,0.0728
r8gd.medium,Memory optimized,1,8 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 12500 Megabit,1 x 59 NVMe SSD,Yes,0.07348
t3a.large,General purpose,2,8 GiB,AMD EPYC 7571,64-bit,,NA,Up to 5 Gigabit,EBS only,Yes,0.0752
r7a.medium,Memory optimized,1,8 GiB,AMD EPYC 9R14 Processor,64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.07608
c6a.large,Compute optimized,2,4 GiB,AMD EPYC 7R13 Processor,64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.0765
c6gd.large,Compute optimized,2,4 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 10 Gigabit,1 x 118 NVMe SSD,Yes,0.0768
c5a.large,Compute optimized,2,4 GiB,AMD EPYC 7R32,32-bit or 64-bit,,NA,Up to 10 Gigabit,EBS only,Yes,0.077
m6g.large,General purpose,2,8 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 10 Gigabit,EBS only,Yes,0.077
c8g.large,Compute optimized,2,4 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 12.5 Gigabit,EBS only,Yes,0.07976
r8a.medium,Memory optimized,1,8 GiB,AMD EPYC 9R45 Processor,64-bit,,NA,Up to 15000 Megabit,EBS only,Yes,0.07988
m7g.large,General purpose,2,8 GiB,AWS Graviton3 Processor,64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.0816
t3.large,General purpose,2,8 GiB,Intel Skylake E5 2686 v5,64-bit,,NA,Up to 5 Gigabit,EBS only,Yes,0.0832
x2gd.medium,Memory optimized,1,16 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 10 Gigabit,1 x 59 SSD,Yes,0.0835
c7i-flex.large,Compute optimized,2,4 GiB,Intel Xeon Scalable (Sapphire Rapids),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.08479
c5.large,Compute optimized,2,4 GiB,Intel Xeon Platinum 8124M,64-bit,,NA,Up to 10 Gigabit,EBS only,Yes,0.085
c6i.large,Compute optimized,2,4 GiB,Intel Xeon 8375C (Ice Lake),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.085
m5a.large,General purpose,2,8 GiB,AMD EPYC 7571,64-bit,,NA,Up to 10 Gigabit,EBS only,Yes,0.086
c5ad.large,Compute optimized,2,4 GiB,AMD EPYC 7R32,64-bit,,NA,Up to 10 Gigabit,1 x 75 NVMe SSD,Yes,0.086
m6a.large,General purpose,2,8 GiB,AMD EPYC 7R13 Processor,64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.0864
c6gn.large,Compute optimized,2,4 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 25 Gigabit,EBS only,Yes,0.0864
c9g.large,Compute optimized,2,4.0 GiB,AWS Graviton5 Processor,64-bit,,NA,Up to 15 Gigabit,EBS only,Yes,0.08694
m1.medium,General purpose,1,3.75 GiB,Intel Xeon Family,32-bit or 64-bit,,NA,Moderate,1 x 410 SSD,No,0.087
c8i-flex.large,Compute optimized,2,4 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.08902
c7i.large,Compute optimized,2,4 GiB,Intel Xeon Scalable (Sapphire Rapids),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.08925
